Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
TMEM98		1	1	2	50.0%	No
PARD3		1	1	2	50.0%	No
ATRX		1	1	2	50.0%	Yes
RC3H2		1	1	2	50.0%	No
ASAH1		1	1	2	50.0%	No
COL27A1		1	1	2	50.0%	No
RAD54L		1	1	2	50.0%	Yes
PFKFB1		1	1	2	50.0%	No
SLC6A12		1	1	2	50.0%	No
ZNF827		1	1	2	50.0%	No
OR4C11		1	1	2	50.0%	No
EPPK1		1	1	2	50.0%	No
SIRT4		1	1	2	50.0%	No
APOBEC4		1	1	2	50.0%	No
ETFDH		1	1	2	50.0%	No
TRRAP		1	1	2	50.0%	Yes
CACNG7		1	1	2	50.0%	No
JAK2		1	1	2	50.0%	Yes
NUP98		1	1	2	50.0%	Yes
CTNNB1		1	1	2	50.0%	Yes
GPR78		1	1	2	50.0%	No
KRTAP12-4		1	1	2	50.0%	No
C15ORF62		1	1	2	50.0%	No
PLD1		1	1	2	50.0%	No
CLEC4M		1	1	2	50.0%	No
PRR36		1	1	2	50.0%	No
PGGHG		1	1	2	50.0%	No
NPIPB6		1	1	2	50.0%	No
CPEB3		1	1	2	50.0%	No
PCDH15		1	1	2	50.0%	No
DNTT		1	1	2	50.0%	No
BBS12		1	1	2	50.0%	No
POTEE		1	1	2	50.0%	No
PLXNB2		1	1	2	50.0%	No
KCNH4		1	1	2	50.0%	No
PCDH12		2	1	2	50.0%	No
GYS2		1	1	2	50.0%	No
CNN2		1	1	2	50.0%	No
NRN1		1	1	2	50.0%	No
DCLK3		1	1	2	50.0%	No
LRRC9		1	1	2	50.0%	No
PLK1		1	1	2	50.0%	No
ARHGEF11		1	1	2	50.0%	No
GFPT2		1	1	2	50.0%	No
KRAS	4.580e-12	1	1	2	50.0%	Yes
SETD2		1	1	2	50.0%	Yes
ZNF521		1	1	2	50.0%	Yes
NR2F2		1	1	2	50.0%	No
SYNE1		1	1	2	50.0%	No
RAPGEF1		1	1	2	50.0%	No
GRB10		1	1	2	50.0%	No
ALDH3A1		1	1	2	50.0%	No
CCDC134		1	1	2	50.0%	No
PGM3		1	1	2	50.0%	No
ZEB2		1	1	2	50.0%	No
CD163		1	1	2	50.0%	No
USH2A		1	1	2	50.0%	No
IMPG2		1	1	2	50.0%	No
COL7A1		1	1	2	50.0%	No
TAB3		1	1	2	50.0%	No
NUP188		1	1	2	50.0%	No
OSBPL5		1	1	2	50.0%	No
NPIPB11		1	1	2	50.0%	No
ATP8B3		1	1	2	50.0%	No
HECW1		1	1	2	50.0%	No
EYA1		1	1	2	50.0%	No
EMP3		1	1	2	50.0%	No
LAMA2		1	1	2	50.0%	No
THSD7B		1	1	2	50.0%	No
KCNA6		1	1	2	50.0%	No
LIMK2		1	1	2	50.0%	No
DNAAF3		1	1	2	50.0%	No
RASA2		1	1	2	50.0%	No
PNLIPRP1		1	1	2	50.0%	No
ZNF518A		1	1	2	50.0%	No
