Gene	Gistic(Q-value)	Cytoband	CNA	Profiled Samples	#	Freq	Is Cancer Gene (source: OncoKB)
RN7SL845P	1.615e-3	7q36.1	HOMDEL	1	18	5.6%	No
DHPS		19p13.13	AMP	1	18	5.6%	No
SLC16A6		17q24.2	AMP	1	18	5.6%	No
CCDC80		3q13.2	AMP	1	18	5.6%	No
ZP4		1q43	AMP	1	18	5.6%	No
GJC2		1q42.13	AMP	1	18	5.6%	No
PPP1R37		19q13.32	AMP	1	18	5.6%	No
CASP3		4q35.1	HOMDEL	1	18	5.6%	No
WDR86	1.615e-3	7q36.1	HOMDEL	1	18	5.6%	No
PTGER1		19p13.1	AMP	1	18	5.6%	No
HTR3E		3q27.1	AMP	3	18	16.7%	No
MFSD3		8q24.3	AMP	1	18	5.6%	No
BPI		20q11.23	AMP	1	18	5.6%	No
SNRPA		19q13.2	AMP	1	18	5.6%	No
RNA5SP118		2q34	HOMDEL	1	18	5.6%	No
CPE		4q32.3	HOMDEL	1	18	5.6%	No
IFNL1		19q13.2	AMP	1	18	5.6%	No
ACSM1		16p12.3	AMP	1	18	5.6%	No
GREM2		1q43	AMP	1	18	5.6%	No
MTMR7		8p22	HOMDEL	1	18	5.6%	No
CCM2L		20q11.21	AMP	1	18	5.6%	No
LINC00881		3q25.31	AMP	2	18	11.1%	No
LINC00616		4q28.3	HOMDEL	1	18	5.6%	No
LDLR		19p13.2	AMP	1	18	5.6%	No
ERICH6		3q25.1	AMP	2	18	11.1%	No
DCPS	1.076e-32	11q24.2	HOMDEL	1	18	5.6%	No
TMEM45A		3q12.2	AMP	1	18	5.6%	No
H3-3A		1q42.12	AMP	1	18	5.6%	Yes
FOLR1		11q13.4	HOMDEL	1	18	5.6%	No
ZNF540		19q13.13	AMP	1	18	5.6%	No
CT47A4		Xq24	AMP	1	18	5.6%	No
RN7SL621P		8p12	HOMDEL	1	18	5.6%	No
RNA5SP181		5p13.2	AMP	1	18	5.6%	No
PDCD10		3q26.1	AMP	3	18	16.7%	No
IFITM1	2.701e-2	11p15.5	HOMDEL	1	18	5.6%	No
TNPO3	1.615e-3	7q32.1	HOMDEL	1	18	5.6%	No
KCNJ5-AS1	1.076e-32	11q24.3	HOMDEL	1	18	5.6%	No
TRPV6	1.615e-3	7q34	HOMDEL	1	18	5.6%	No
IFNL3		19q13.2	AMP	1	18	5.6%	No
SPATA16		3q26.31	AMP	3	18	16.7%	No
RTP2		3q27.3	AMP	3	18	16.7%	No
TPBGL		11q13.4	HOMDEL	1	18	5.6%	No
RN7SKP185		20q11.23	AMP	1	18	5.6%	No
PLK4		4q28.1	HOMDEL	1	18	5.6%	No
PEX5L		3q26.33	AMP	3	18	16.7%	No
RN7SL318P		8p23.2	HOMDEL	1	18	5.6%	No
HNRNPUL1		19q13.2	AMP	1	18	5.6%	No
ASTE1		3q22.1	AMP	1	18	5.6%	No
THAP10		15q23	HOMDEL	1	18	5.6%	No
MPG		16p13.3	AMP	1	18	5.6%	No
NAALAD2		11q14.3	HOMDEL	1	18	5.6%	No
CHD5	2.952e-4	1p36.31	HOMDEL	1	18	5.6%	No
CLIC2		Xq28	AMP	2	18	11.1%	No
NHLRC4		16p13.3	AMP	1	18	5.6%	No
TESMIN		11q13.3	HOMDEL	1	18	5.6%	No
ZBTB18		1q44	AMP	1	18	5.6%	No
RN7SL706P		14q24.1	AMP	1	18	5.6%	No
REPS1		6q24.1	HOMDEL	1	18	5.6%	No
RN7SL141P	2.352e-34	3q26.31	AMP	3	18	16.7%	No
MFSD8		4q28.2	HOMDEL	1	18	5.6%	No
SLC25A1		22q11.21	AMP	1	18	5.6%	No
CCDC105		19p13.12	AMP	1	18	5.6%	No
RN7SL108P		14q24.1	AMP	1	18	5.6%	No
DDX39A		19p13.12	AMP	1	18	5.6%	No
RN7SKP116		6p12.3	HOMDEL	1	18	5.6%	No
DNAJB1		19p13.12	AMP	1	18	5.6%	Yes
FNDC1	9.848e-5	6q25.3	HOMDEL	2	18	11.1%	No
TOMM70		3q12.2	AMP	1	18	5.6%	No
RHBDD1		2q36.3	HOMDEL	1	18	5.6%	No
UBE2F	3.466e-41	2q37.3	HOMDEL	1	18	5.6%	No
TNIK	2.352e-34	3q26.2-q26.31	AMP	3	18	16.7%	No
BMT2		7q31.1	HOMDEL	1	18	5.6%	No
DLGAP2		8p23.3	HOMDEL	1	18	5.6%	No
RNA5SP78		1q42.13	AMP	1	18	5.6%	No
SERPINH1		11q13.5	HOMDEL	1	18	5.6%	No
CCN4		8q24.22	AMP	1	18	5.6%	No
ZNF234		19q13.31	AMP	1	18	5.6%	No
KCNJ16		17q24.3	AMP	1	18	5.6%	No
SCARNA7		3q25.22	AMP	2	18	11.1%	No
MARCHF4		2q35	HOMDEL	1	18	5.6%	No
SLC9A6		Xq26.3	AMP	2	18	11.1%	No
DEFB104A		8p23.1	HOMDEL	1	18	5.6%	No
MTM1		Xq28	AMP	2	18	11.1%	No
NMD3		3q26.1	AMP	2	18	11.1%	No
RN7SKP35		4q31.3	HOMDEL	1	18	5.6%	No
RMI2		16p13.13	AMP	1	18	5.6%	Yes
SPON2	1.297e-1	4p16.3	HOMDEL	1	18	5.6%	No
HAUS7		Xq28	AMP	2	18	11.1%	No
LAYN	1.076e-32	11q23.1	HOMDEL	1	18	5.6%	No
CT47A5		Xq24	AMP	1	18	5.6%	No
PDXDC1		16p13.11	AMP	1	18	5.6%	No
NOX3	9.848e-5	6q25.3	HOMDEL	2	18	11.1%	No
COX4I2	4.240e-10	20q11.21	AMP	1	18	5.6%	No
C8ORF48		8p22	HOMDEL	1	18	5.6%	No
UGT3A2		5p13.2	AMP	1	18	5.6%	No
RNA5SP77		1q42.13	AMP	1	18	5.6%	No
RNA5SP182		5q11.2	AMP	1	18	5.6%	No
ADRB3		8p11.23	HOMDEL	1	18	5.6%	No
SOX14		3q22.3	AMP	1	18	5.6%	No
FRG2	1.654e-13	4q35.2	HOMDEL	1	18	5.6%	No
TMEM205		19p13.2	AMP	1	18	5.6%	No
RNU6ATAC40P	1.615e-3	7q35	HOMDEL	1	18	5.6%	No
SLCO2A1		3q22.1-q22.2	AMP	1	18	5.6%	No
CLDN6		16p13.3	AMP	1	18	5.6%	No
RNA5SP81		1q43	AMP	1	18	5.6%	No
GLB1L3		11q25	HOMDEL	1	18	5.6%	No
GOLGA6L1		15q11.2	AMP	1	18	5.6%	No
RAP2C		Xq26.2	AMP	1	18	5.6%	No
PATE3	1.076e-32	11q24.2	HOMDEL	1	18	5.6%	No
PLXNA3		Xq28	AMP	2	18	11.1%	No
RN7SL545P		15q11.2	AMP	1	18	5.6%	No
CATSPERE		1q44	AMP	1	18	5.6%	No
SMARCAL1		2q35	HOMDEL	1	18	5.6%	No
FCHSD2		11q13.4	HOMDEL	1	18	5.6%	No
ZNF598		16p13.3	AMP	1	18	5.6%	No
SMPDL3A		6q22.31	HOMDEL	1	18	5.6%	No
PNMA6A		Xq28	AMP	2	18	11.1%	No
NMBR		6q24.1	HOMDEL	1	18	5.6%	No
TFG		3q12.2	AMP	1	18	5.6%	Yes
PRSS33		16p13.3	AMP	1	18	5.6%	No
HJURP	3.466e-41	2q37.1	HOMDEL	1	18	5.6%	No
IL17A		6p12.2	HOMDEL	1	18	5.6%	No
USP13		3q26.33	AMP	3	18	16.7%	No
PALM3		19p13.12	AMP	1	18	5.6%	No
RN7SL718P		19q13.2	AMP	1	18	5.6%	No
HINFP	1.076e-32	11q23.3	HOMDEL	1	18	5.6%	No
RN7SL709P		8p11.23	HOMDEL	1	18	5.6%	No
OR7A17		19p13.12	AMP	1	18	5.6%	No
ATR		3q23	AMP	1	18	5.6%	Yes
RNA5SP80		1q42.2	AMP	1	18	5.6%	No
NDST3		4q26	HOMDEL	1	18	5.6%	No
AKR1B1	1.615e-3	7q33	HOMDEL	1	18	5.6%	No
ZDHHC8		22q11.21	AMP	1	18	5.6%	No
RNF146		6q22.33	HOMDEL	1	18	5.6%	No
FN1		2q35	HOMDEL	1	18	5.6%	No
MEP1A		6p12.3	HOMDEL	1	18	5.6%	No
BPIFB2		20q11.21	AMP	1	18	5.6%	No
PATE4	1.076e-32	11q24.2	HOMDEL	1	18	5.6%	No
ERICH1		8p23.3	HOMDEL	1	18	5.6%	No
RWDD4		4q35.1	HOMDEL	1	18	5.6%	No
THBS2	9.848e-5	6q27	HOMDEL	3	18	16.7%	No
PRSS23		11q14.2	HOMDEL	1	18	5.6%	No
TRPM4		19q13.33	AMP	1	18	5.6%	No
RNA5SP79		1q42.2	AMP	1	18	5.6%	No
OR2T4		1q44	AMP	1	18	5.6%	No
SAG	3.466e-41	2q37.1	HOMDEL	1	18	5.6%	No
C19ORF33	3.164e-8	19q13.2	AMP	1	18	5.6%	No
GPR156		3q13.33	AMP	1	18	5.6%	No
ABCA10		17q24.3	AMP	2	18	11.1%	No
RNA5SP168		4q31.3	HOMDEL	1	18	5.6%	No
ULK1		12q24.33	AMP	1	18	5.6%	No
SST		3q27.3	AMP	3	18	16.7%	No
CLDN1		3q28	AMP	3	18	16.7%	No
SNORA71B		20q11.23	AMP	1	18	5.6%	No
PLCH2	2.952e-4	1p36.32	HOMDEL	1	18	5.6%	No
CHKA		11q13.2	HOMDEL	1	18	5.6%	No
SNORD14C	1.076e-32	11q23.3-q25	HOMDEL	1	18	5.6%	No
UTS2	2.952e-4	1p36.23	HOMDEL	1	18	5.6%	No
XPNPEP2		Xq26.1	AMP	1	18	5.6%	No
TMEM186		16p13.2	AMP	1	18	5.6%	No
GYPA		4q31.21	HOMDEL	1	18	5.6%	No
TMPRSS7		3q13.2	AMP	1	18	5.6%	No
CETN2		Xq28	AMP	2	18	11.1%	No
SNORA71A		20q11.23	AMP	1	18	5.6%	No
CFAP74	2.952e-4	1p36.33	HOMDEL	1	18	5.6%	No
U2SURP		3q23	AMP	1	18	5.6%	No
SAMD3		6q23.1	HOMDEL	1	18	5.6%	No
SLC39A14		8p21.3	HOMDEL	1	18	5.6%	No
ADAMTS15	1.076e-32	11q24.3	HOMDEL	1	18	5.6%	No
TCP1	9.848e-5	6q25.3	HOMDEL	3	18	16.7%	No
ZNF461		19q13.13	AMP	1	18	5.6%	No
RN7SL724P		3q23	AMP	1	18	5.6%	No
TONSL		8q24.3	AMP	1	18	5.6%	No
RNA5SP82		1q44	AMP	1	18	5.6%	No
TMEM225	1.076e-32	11q24.1	HOMDEL	1	18	5.6%	No
SPINT2	3.164e-8	19q13.2	AMP	1	18	5.6%	No
RN7SKP136		4q34.3	HOMDEL	1	18	5.6%	No
RN7SL382P		4q31.1	HOMDEL	1	18	5.6%	No
HAGH		16p13.3	AMP	1	18	5.6%	No
GIMAP6	1.615e-3	7q36.1	HOMDEL	1	18	5.6%	No
CCP110		16p12.3	AMP	1	18	5.6%	No
IL13RA2		Xq23	AMP	1	18	5.6%	No
CFAP97		4q35.1	HOMDEL	1	18	5.6%	No
SNORA70E		11q	HOMDEL	1	18	5.6%	No
SORBS2		4q35.1	HOMDEL	1	18	5.6%	No
PITPNC1		17q24.2	AMP	1	18	5.6%	No
RN7SL368P		19q13.31	AMP	1	18	5.6%	No
LONRF3		Xq24	AMP	1	18	5.6%	No
DTNBP1	4.670e-2	6p22.3	HOMDEL	1	18	5.6%	No
STX7		6q23.2	HOMDEL	1	18	5.6%	No
RAD18		3p25.3	HOMDEL	1	18	5.6%	No
RN7SL118P		Xq24	AMP	1	18	5.6%	No
SSTR2		17q25.1	AMP	1	18	5.6%	No
RN7SKP106		6q24.1	HOMDEL	1	18	5.6%	No
LUZP6	1.615e-3	7q33	HOMDEL	1	18	5.6%	No
RN7SL351P	1.076e-32	11q24.2	HOMDEL	1	18	5.6%	No
CUL5	1.076e-32	11q22.3	HOMDEL	1	18	5.6%	No
SRRM5		19q13.31	AMP	1	18	5.6%	No
ZNF251		8q24.3	AMP	1	18	5.6%	No
ABCA3		16p13.3	AMP	1	18	5.6%	No
IL13RA1		Xq24	AMP	1	18	5.6%	No
RHOXF2		Xq24	AMP	1	18	5.6%	No
CD200R1L		3q13.2	AMP	1	18	5.6%	No
CPN2		3q29	AMP	4	18	22.2%	No
GSC2		22q11.21	AMP	1	18	5.6%	No
OR5K1		3q11.2	AMP	1	18	5.6%	No
ZNF585B		19q13.12	AMP	1	18	5.6%	No
ELF4		Xq26.1	AMP	1	18	5.6%	Yes
SMG1		16p12.3	AMP	1	18	5.6%	Yes
ENPP6		4q35.1	HOMDEL	1	18	5.6%	No
C4ORF46		4q32.1	HOMDEL	1	18	5.6%	No
RFX6		6q22.1	HOMDEL	1	18	5.6%	No
CEMP1		16p13.3	AMP	1	18	5.6%	No
XRCC1		19q13.31	AMP	1	18	5.6%	No
NADK	2.952e-4	1p36.33	HOMDEL	1	18	5.6%	Yes
H2AW		1q42.13	AMP	1	18	5.6%	No
ZDHHC8P1		22q11.23	AMP	1	18	5.6%	No
BRME1		19p13.12	AMP	1	18	5.6%	No
RPRD1B		20q11.23	AMP	1	18	5.6%	No
ZNF296		19q13.32	AMP	1	18	5.6%	No
GLB1L		2q35	HOMDEL	1	18	5.6%	No
CPOX		3q11.2	AMP	1	18	5.6%	No
INTS4		11q14.1	HOMDEL	1	18	5.6%	No
KLF15		3q21.3	AMP	1	18	5.6%	No
NUDT18		8p21.3	HOMDEL	1	18	5.6%	No
IGF2BP2		3q27.2	AMP	3	18	16.7%	No
DGCR2		22q11.21	AMP	1	18	5.6%	No
PRELID1P1		6q22.32	HOMDEL	1	18	5.6%	No
MCM2		3q21.3	AMP	1	18	5.6%	No
RPL8		8q24.3	AMP	1	18	5.6%	No
THOC6		16p13.3	AMP	1	18	5.6%	No
C19ORF67		19p13.12	AMP	1	18	5.6%	No
COL11A1	1.281e-2	1p21.1	HOMDEL	1	18	5.6%	No
RNF151		16p13.3	AMP	1	18	5.6%	No
KCNK6	3.164e-8	19q13.2	AMP	1	18	5.6%	No
ATG16L2		11q13.4	HOMDEL	1	18	5.6%	No
CMKLR2		2q33.3	HOMDEL	1	18	5.6%	No
MMP23B	2.952e-4	1p36.33	HOMDEL	1	18	5.6%	No
SNORD118	1.296e-2	17p13.1	AMP	1	18	5.6%	No
DISC1FP1		11q14.3	HOMDEL	1	18	5.6%	No
HSPBAP1		3q21.1	AMP	1	18	5.6%	No
RN7SL566P		19q13.2	AMP	1	18	5.6%	No
OBSCN		1q42.13	AMP	1	18	5.6%	No
ETS1	1.076e-32	11q24.3	HOMDEL	1	18	5.6%	Yes
TNPO2		19p13.13	AMP	1	18	5.6%	No
GLYATL3		6p12.3	HOMDEL	1	18	5.6%	No
RAN		12q24.33	AMP	1	18	5.6%	No
STK36		2q35	HOMDEL	1	18	5.6%	No
SPRTN		1q42.2	AMP	1	18	5.6%	Yes
HEATR1		1q43	AMP	1	18	5.6%	No
CPA2	1.615e-3	7q32.2	HOMDEL	1	18	5.6%	No
FAM167A	2.105e-3	8p23.1	HOMDEL	2	18	11.1%	No
PRMT9		4q31.23	HOMDEL	1	18	5.6%	No
TBC1D32		6q22.31	HOMDEL	1	18	5.6%	No
RN7SKP237		4q31.1	HOMDEL	1	18	5.6%	No
PRKN	9.848e-5	6q26	HOMDEL	4	18	22.2%	Yes
RGS7		1q43	AMP	1	18	5.6%	No
ZNF45		19q13.31	AMP	1	18	5.6%	No
UGT1A3	3.466e-41	2q37.1	HOMDEL	1	18	5.6%	No
SNORD100		6q23.2	HOMDEL	1	18	5.6%	No
NME4		16p13.3	AMP	1	18	5.6%	No
UFSP2		4q35.1	HOMDEL	1	18	5.6%	No
PLD5		1q43	AMP	1	18	5.6%	No
TAS2R41	1.615e-3	7q35	HOMDEL	1	18	5.6%	No
RN7SKP298		3q26.1	AMP	3	18	16.7%	No
RPL10		Xq28	AMP	2	18	11.1%	Yes
OR2W5P		1q44	AMP	1	18	5.6%	No
OR8D1	1.076e-32	11q24.2	HOMDEL	1	18	5.6%	No
UBE2L3		22q11.21	AMP	1	18	5.6%	No
EPB41L2		6q23.1-q23.2	HOMDEL	1	18	5.6%	No
RANBP1		22q11.21	AMP	1	18	5.6%	No
MYLK2		20q11.21	AMP	1	18	5.6%	No
TFDP2		3q23	AMP	1	18	5.6%	No
NACC1		19p13.13	AMP	1	18	5.6%	No
OR2L13		1q44	AMP	1	18	5.6%	No
PRR23A		3q23	AMP	1	18	5.6%	No
RNY5	1.615e-3	7q36.1	HOMDEL	1	18	5.6%	No
LATS1		6q25.1	HOMDEL	1	18	5.6%	Yes
CRYGEP		2q33.3	HOMDEL	1	18	5.6%	No
CRYGD		2q33.3	HOMDEL	1	18	5.6%	No
DES		2q35	HOMDEL	1	18	5.6%	No
NME3		16p13.3	AMP	1	18	5.6%	No
LGALS7B		19q13.2	AMP	1	18	5.6%	No
BTG4	1.076e-32	11q23.1	HOMDEL	1	18	5.6%	No
PDE2A		11q13.4	HOMDEL	1	18	5.6%	No
TUSC7		3q13.31	AMP	1	18	5.6%	No
AHCY		20q11.22	AMP	1	18	5.6%	No
SLC2A7	2.952e-4	1p36.23	HOMDEL	1	18	5.6%	No
RN7SKP267		Xq28	AMP	2	18	11.1%	No
CADPS2	1.615e-3	7q31.32	HOMDEL	1	18	5.6%	No
PEX7		6q23.3	HOMDEL	1	18	5.6%	No
OR13G1		1q44	AMP	1	18	5.6%	No
P2RY13		3q25.1	AMP	2	18	11.1%	No
TRH		3q22.1	AMP	1	18	5.6%	No
WNT11		11q13.5	HOMDEL	1	18	5.6%	No
OR10G7	1.076e-32	11q24.2	HOMDEL	1	18	5.6%	No
INPP5D	3.466e-41	2q37.1	HOMDEL	1	18	5.6%	Yes
TSPAN18		11p11.2	HOMDEL	1	18	5.6%	No
RNA5SP349	1.076e-32	11q22.3	HOMDEL	1	18	5.6%	No
VPS8		3q27.2	AMP	3	18	16.7%	No
PMM2		16p13.2	AMP	1	18	5.6%	No
SLC9A9		3q24	AMP	2	18	11.1%	No
ZNF141	1.297e-1	4p16.3	HOMDEL	1	18	5.6%	No
OR4M2		15q11.2	AMP	1	18	5.6%	No
PEBP4		8p21.3	HOMDEL	1	18	5.6%	No
GRIA2		4q32.1	HOMDEL	1	18	5.6%	No
KRI1		19p13.2	AMP	1	18	5.6%	No
EDN1	4.670e-2	6p24.1	HOMDEL	1	18	5.6%	No
KLHDC10	1.615e-3	7q32.2	HOMDEL	1	18	5.6%	No
LGALS14		19q13.2	AMP	1	18	5.6%	No
RNA5SP122	3.466e-41	2q37.3	HOMDEL	1	18	5.6%	No
OR52I2	2.701e-2	11p15.4	HOMDEL	1	18	5.6%	No
CCDC78		16p13.3	AMP	1	18	5.6%	No
MGAM	1.615e-3	7q34	HOMDEL	1	18	5.6%	Yes
MARK4		19q13.32	AMP	1	18	5.6%	No
PICALM		11q14.2	HOMDEL	2	18	11.1%	Yes
VPS26B		11q25	HOMDEL	1	18	5.6%	No
ZNF112		19q13.31	AMP	1	18	5.6%	No
GOLGA8EP		15q11.2	AMP	1	18	5.6%	No
ARHGEF5	1.615e-3	7q35	HOMDEL	1	18	5.6%	No
PGAP6		16p13.3	AMP	1	18	5.6%	No
TMED11P	1.297e-1	4p16.3	HOMDEL	1	18	5.6%	No
TSKU		11q13.5	HOMDEL	1	18	5.6%	No
ZC3HAV1	1.615e-3	7q34	HOMDEL	1	18	5.6%	No
ZNF34		8q24.3	AMP	1	18	5.6%	No
RN7SL850P		16p13.3	AMP	1	18	5.6%	No
JMJD4		1q42.13	AMP	1	18	5.6%	No
SYT8	2.701e-2	11p15.5	HOMDEL	1	18	5.6%	No
PHF6		Xq26.2	AMP	2	18	11.1%	Yes
FOXL2NB		3q22.3	AMP	1	18	5.6%	No
L1CAM		Xq28	AMP	2	18	11.1%	No
DNAH3		16p12.3	AMP	1	18	5.6%	No
CIAO3		16p13.3	AMP	1	18	5.6%	No
C3ORF52		3q13.2	AMP	1	18	5.6%	No
TKTL2		4q32.2	HOMDEL	1	18	5.6%	No
PTPRK		6q22.33	HOMDEL	1	18	5.6%	Yes
MAP1LC3C		1q43	AMP	1	18	5.6%	No
ZNF227		19q13.31	AMP	1	18	5.6%	No
DISC1		1q42.2	AMP	1	18	5.6%	No
CCDC27	2.952e-4	1p36.32	HOMDEL	1	18	5.6%	No
LTO1		11q13.2	HOMDEL	1	18	5.6%	No
ARHGEF16	2.952e-4	1p36.32	HOMDEL	1	18	5.6%	No
TEX28P2		Xq28	AMP	2	18	11.1%	No
OR4F5	2.952e-4	1p36.33	HOMDEL	1	18	5.6%	No
RSPH4A		6q22.1	HOMDEL	1	18	5.6%	No
ZNF442		19p13.2	AMP	1	18	5.6%	No
GABRE		Xq28	AMP	2	18	11.1%	No
ZBTB44	1.076e-32	11q24.3	HOMDEL	1	18	5.6%	No
ABCA11P	1.297e-1	4p16.3	HOMDEL	1	18	5.6%	No
FAM149A		4q35.1	HOMDEL	1	18	5.6%	No
DEFB103B		8p23.1	HOMDEL	1	18	5.6%	No
ZNF230		19q13.31	AMP	1	18	5.6%	No
H1-10		3q21.3	AMP	1	18	5.6%	No
B9D2		19q13.2	AMP	1	18	5.6%	No
OR2T11		1q44	AMP	1	18	5.6%	No
LMNTD2	2.701e-2	11p15.5	HOMDEL	1	18	5.6%	No
ING2		4q35.1	HOMDEL	1	18	5.6%	No
ASB1	3.466e-41	2q37.3	HOMDEL	1	18	5.6%	No
SNORA41	4.965e-4	2q33.3	HOMDEL	1	18	5.6%	No
OR2AJ1		1q44	AMP	1	18	5.6%	No
UBE3A		15q11.2	AMP	1	18	5.6%	No
CASKIN1		16p13.3	AMP	1	18	5.6%	No
ALG1L		3q21.2	AMP	1	18	5.6%	No
SLC22A1	9.848e-5	6q25.3	HOMDEL	3	18	16.7%	No
ZNF229		19q13.31	AMP	1	18	5.6%	No
LINC02899		5p14.2	AMP	1	18	5.6%	No
PTX4		16p13.3	AMP	1	18	5.6%	No
PSG11		19q13.31	AMP	1	18	5.6%	No
MROH2A	3.466e-41	2q37.1	HOMDEL	1	18	5.6%	No
BRSK2	2.701e-2	11p15.5	HOMDEL	1	18	5.6%	No
AIRN	9.848e-5	6q25.3	HOMDEL	3	18	16.7%	No
PSMB1	9.848e-5	6q27	HOMDEL	3	18	16.7%	No
RN7SL495P		15q11.2	AMP	1	18	5.6%	No
