Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
ITGA2B		2	2	131	1.5%	No
ITGA3		1	1	131	0.8%	No
BOD1L2		1	1	131	0.8%	No
ITGA4		1	1	131	0.8%	No
QTRT1		2	2	131	1.5%	No
TRIM50		1	1	131	0.8%	No
ITGA7		3	3	131	2.3%	No
ITGB3		1	1	131	0.8%	No
ITGB4		3	3	131	2.3%	No
COX18		1	1	131	0.8%	No
ITGB6		1	1	131	0.8%	No
ITGB7		1	1	131	0.8%	No
CDKN3		1	1	131	0.8%	No
FRYL		3	3	131	2.3%	No
CDKN2A		1	1	131	0.8%	Yes
LAS1L		4	4	131	3.1%	No
CDKN1A		2	2	131	1.5%	Yes
CDK8		2	2	131	1.5%	Yes
FOSL2		2	2	131	1.5%	No
FOSB		1	1	131	0.8%	No
ITGAX		2	2	131	1.5%	No
ITGB1		2	2	131	1.5%	No
ITGB2		1	1	131	0.8%	No
BOD1L1		7	6	131	4.6%	No
RNF175		1	1	131	0.8%	No
TAS2R43		1	1	131	0.8%	No
ST8SIA6		1	1	131	0.8%	No
DNAAF8		1	1	131	0.8%	No
DUSP29		1	1	131	0.8%	No
SAP130		3	3	131	2.3%	No
MUL1		1	1	131	0.8%	No
C16ORF89		1	1	131	0.8%	No
OBI1		2	2	131	1.5%	No
RDH12		1	1	131	0.8%	No
ITIH2		3	3	131	2.3%	No
ITIH3		1	1	131	0.8%	No
TAS2R19		1	1	131	0.8%	No
CCDC122		1	1	131	0.8%	No
DGKH		1	1	131	0.8%	No
GGTLC2		2	1	131	0.8%	No
BICDL1		1	1	131	0.8%	No
SPAG16		1	1	131	0.8%	No
CEBPA		1	1	131	0.8%	Yes
SLC52A2		1	1	131	0.8%	No
CHPF		1	1	131	0.8%	No
CORO7		2	2	131	1.5%	No
CARS2		1	1	131	0.8%	No
RNF128		1	1	131	0.8%	No
CDX2		2	2	131	1.5%	Yes
RDH8		1	1	131	0.8%	No
MALRD1		3	3	131	2.3%	No
CES1		1	1	131	0.8%	No
CENPF		8	6	131	4.6%	No
CENPE		9	8	131	6.1%	No
ENPP5		1	1	131	0.8%	No
PRDM4		2	2	131	1.5%	No
PRDM5		1	1	131	0.8%	No
CENPB		2	2	131	1.5%	No
KIAA1671		1	1	131	0.8%	No
CEL		1	1	131	0.8%	No
TUBGCP6		3	3	131	2.3%	No
ATE1		1	1	131	0.8%	No
PTCHD1		4	4	131	3.1%	No
KATNA1		3	2	131	1.5%	No
PCSK9		1	1	131	0.8%	No
SSC5D		2	2	131	1.5%	No
PRDM7		1	1	131	0.8%	No
SHC2		1	1	131	0.8%	No
HMSD		1	1	131	0.8%	No
UHRF2		3	3	131	2.3%	No
CFL1		1	1	131	0.8%	No
KIAA1549L		2	2	131	1.5%	No
BTN3A2		1	1	131	0.8%	No
EMILIN2		2	2	131	1.5%	No
OBSCN		9	7	131	5.3%	No
CIT		3	3	131	2.3%	No
ZC3HAV1		3	2	131	1.5%	No
MAGEB10		4	4	131	3.1%	No
EMILIN1		3	2	131	1.5%	No
SYDE1		2	2	131	1.5%	No
CFTR		2	2	131	1.5%	No
MAGT1		2	2	131	1.5%	No
RBM48		2	2	131	1.5%	No
CCDC112		1	1	131	0.8%	No
CEACAM7		2	2	131	1.5%	No
APRG1		1	1	131	0.8%	No
UNC13C		5	4	131	3.1%	No
FFAR4		1	1	131	0.8%	No
EIF2AK4		1	1	131	0.8%	No
SLAMF8		2	2	131	1.5%	No
CHST12		2	1	131	0.8%	No
ETNK1		1	1	131	0.8%	Yes
TEX35		2	2	131	1.5%	No
TRPV6		1	1	131	0.8%	No
GPR137		1	1	131	0.8%	No
BATF3		1	1	131	0.8%	No
PTGR3		1	1	131	0.8%	No
RNF40		5	3	131	2.3%	No
CTIF		1	1	131	0.8%	No
ADGRV1		11	10	131	7.6%	No
IGSF11		3	3	131	2.3%	No
SAGE1		2	2	131	1.5%	No
KATNAL1		1	1	131	0.8%	No
ASIC4		1	1	131	0.8%	No
WDR54		1	1	131	0.8%	No
DAZAP2		1	1	131	0.8%	No
SCRN1		3	3	131	2.3%	No
SPOCK2		2	2	131	1.5%	No
NSRP1		1	1	131	0.8%	No
ENKD1		1	1	131	0.8%	No
RB1CC1		4	4	131	3.1%	No
ARL10		1	1	131	0.8%	No
CDNF		1	1	131	0.8%	No
CUL7		3	2	131	1.5%	No
ALDH16A1		1	1	131	0.8%	No
RAD18		2	2	131	1.5%	No
CELF4		1	1	131	0.8%	No
GRIPAP1		3	3	131	2.3%	No
SFI1		1	1	131	0.8%	No
FEM1A		2	2	131	1.5%	No
MYZAP		1	1	131	0.8%	No
DHTKD1		5	4	131	3.1%	No
RAB6C		1	1	131	0.8%	No
PRAG1		1	1	131	0.8%	No
KEAP1		1	1	131	0.8%	Yes
HORMAD1		3	3	131	2.3%	No
SLC43A1		1	1	131	0.8%	No
JAKMIP2		1	1	131	0.8%	No
PKP4		1	1	131	0.8%	No
IZUMO2		1	1	131	0.8%	No
PGAM4		1	1	131	0.8%	No
ELMOD1		1	1	131	0.8%	No
SVOP		1	1	131	0.8%	No
CRYBG1		3	2	131	1.5%	No
MAML3		3	3	131	2.3%	No
KBTBD7		1	1	131	0.8%	No
AKT1		4	4	131	3.1%	Yes
ARHGEF11		4	4	131	3.1%	No
KCNK10		1	1	131	0.8%	No
C3ORF20		1	1	131	0.8%	No
AKT2		1	1	131	0.8%	Yes
ARMCX2		1	1	131	0.8%	No
ARHGAP11A		2	2	131	1.5%	No
ANKRD27		1	1	131	0.8%	No
DNAJC6		1	1	131	0.8%	No
QRICH2		3	3	131	2.3%	No
MYCBPAP		1	1	131	0.8%	No
ARHGEF17		2	2	131	1.5%	No
TREM2		1	1	131	0.8%	No
FSCB		2	2	131	1.5%	No
ADCY4		1	1	131	0.8%	No
HEPH		3	3	131	2.3%	No
ELMO1		2	2	131	1.5%	No
ZBTB24		1	1	131	0.8%	No
PLEKHM1		2	1	131	0.8%	No
IHO1		2	2	131	1.5%	No
TREM1		1	1	131	0.8%	No
ALAS1		1	1	131	0.8%	No
IL17RB		1	1	131	0.8%	No
NETO1		2	2	131	1.5%	No
ALAS2		2	2	131	1.5%	No
ALB		1	1	131	0.8%	Yes
SIGLEC11		1	1	131	0.8%	No
ALCAM		1	1	131	0.8%	No
ABCD1		2	2	131	1.5%	No
ALDH1A1		1	1	131	0.8%	No
PODN		1	1	131	0.8%	No
ALDH2		1	1	131	0.8%	No
PARG		2	2	131	1.5%	No
LCMT2		2	2	131	1.5%	No
CNTNAP1		2	2	131	1.5%	No
ALDH1B1		1	1	131	0.8%	No
PIK3R3		3	3	131	2.3%	Yes
NDST2		1	1	131	0.8%	No
SLC41A1		1	1	131	0.8%	No
PROSER2		1	1	131	0.8%	No
ENC1		1	1	131	0.8%	No
DYNLT2B		2	2	131	1.5%	No
NIPSNAP1		1	1	131	0.8%	No
ZEB2		3	3	131	2.3%	No
HAT1		1	1	131	0.8%	No
KIAA0753		1	1	131	0.8%	No
C2CD2L		2	2	131	1.5%	No
FARP2		1	1	131	0.8%	No
CCDC18		4	2	131	1.5%	No
EPM2AIP1		2	2	131	1.5%	No
ZNF596		1	1	131	0.8%	No
RUSC2		3	3	131	2.3%	No
SNTG2		3	3	131	2.3%	No
UGGT1		1	1	131	0.8%	No
TCEANC2		1	1	131	0.8%	No
AKR1C8		1	1	131	0.8%	No
ALDH3A2		1	1	131	0.8%	No
ABCD2		1	1	131	0.8%	No
ALDOA		2	2	131	1.5%	No
CCDC39		2	2	131	1.5%	No
KLK15		1	1	131	0.8%	No
FSTL5		3	3	131	2.3%	No
ITGA8		4	4	131	3.1%	No
ALDOB		2	2	131	1.5%	No
MFAP3L		1	1	131	0.8%	No
HAUS7		1	1	131	0.8%	No
GAB2		3	3	131	2.3%	Yes
PLXNA3		5	5	131	3.8%	No
ELP1		2	2	131	1.5%	No
RAB37		2	2	131	1.5%	No
YBX3		1	1	131	0.8%	No
MED24		2	2	131	1.5%	No
TRH		1	1	131	0.8%	No
GLRA4		1	1	131	0.8%	No
SH2D7		2	2	131	1.5%	No
LRIG2		1	1	131	0.8%	No
WWP2		1	1	131	0.8%	No
CBX4		2	2	131	1.5%	No
TRIO		5	3	131	2.3%	No
CPZ		3	3	131	2.3%	No
MAGI2		4	4	131	3.1%	No
COPS3		1	1	131	0.8%	No
CNTRL		5	5	131	3.8%	Yes
ANO3		1	1	131	0.8%	No
KIF21B		1	1	131	0.8%	No
PDS5B		2	2	131	1.5%	Yes
FNBP1		2	2	131	1.5%	Yes
SMG1		5	5	131	3.8%	Yes
ALDOC		1	1	131	0.8%	No
MYT1L		3	3	131	2.3%	No
MON2		2	2	131	1.5%	No
PDXDC1		1	1	131	0.8%	No
TNIK		5	5	131	3.8%	No
ALK		2	2	131	1.5%	Yes
ALOX12		1	1	131	0.8%	No
PPP1R26		2	2	131	1.5%	No
CEP170		3	3	131	2.3%	No
NEUROG3		1	1	131	0.8%	No
DGKZ		3	2	131	1.5%	No
KIAA0319		1	1	131	0.8%	No
RAPGEF4		4	4	131	3.1%	No
CEP350		6	5	131	3.8%	No
ADGRG4		8	8	131	6.1%	No
CNTN4		2	2	131	1.5%	No
PPFIA3		2	2	131	1.5%	No
TMEM115		1	1	131	0.8%	No
C16ORF74		1	1	131	0.8%	No
FCHSD2		1	1	131	0.8%	No
AREL1		2	2	131	1.5%	No
AGPS		3	3	131	2.3%	No
SEC24D		2	2	131	1.5%	No
AP3B1		2	2	131	1.5%	No
ZC3H11A		2	2	131	1.5%	No
TOPBP1		2	2	131	1.5%	No
TLK1		3	3	131	2.3%	No
TPPP		1	1	131	0.8%	No
PIR		2	2	131	1.5%	No
URB1		2	2	131	1.5%	No
LRRN4		2	2	131	1.5%	No
ALOX5		1	1	131	0.8%	No
ALOX12B		2	2	131	1.5%	Yes
ZHX3		1	1	131	0.8%	No
ENDOD1		2	2	131	1.5%	No
ALOX15B		2	2	131	1.5%	No
ZSWIM8		3	3	131	2.3%	No
NCOA6		3	2	131	1.5%	No
BARX2		1	1	131	0.8%	No
SETDB1		3	3	131	2.3%	Yes
TRIOBP		9	6	131	4.6%	No
CAMK1		2	2	131	1.5%	No
PJA2		3	2	131	1.5%	No
BCAS1		1	1	131	0.8%	No
TOMM70		1	1	131	0.8%	No
TRPC1		5	4	131	3.1%	No
TRPC3		2	2	131	1.5%	No
MAPKAPK5		1	1	131	0.8%	No
TRANK1		2	2	131	1.5%	No
TRPC5		1	1	131	0.8%	No
CDC14A		4	4	131	3.1%	No
SMG7		1	1	131	0.8%	No
TRPC4		2	2	131	1.5%	No
PIM2		2	2	131	1.5%	No
TRPM2		3	3	131	2.3%	No
OSBPL2		1	1	131	0.8%	No
MID2		3	3	131	2.3%	No
TRPC6		2	2	131	1.5%	No
RHOBTB1		1	1	131	0.8%	No
TMCC1		1	1	131	0.8%	No
PDZRN3		1	1	131	0.8%	No
UNC13A		2	2	131	1.5%	No
MYO16		1	1	131	0.8%	No
CT45A5		2	2	131	1.5%	No
ALPP		1	1	131	0.8%	No
KDM1A		2	2	131	1.5%	No
RBM34		1	1	131	0.8%	No
SNRNP200		2	2	131	1.5%	No
AMBP		1	1	131	0.8%	No
PPIL4		1	1	131	0.8%	No
PALLD		2	2	131	1.5%	No
LGR5		1	1	131	0.8%	No
TRO		3	3	131	2.3%	No
TENT4A		1	1	131	0.8%	No
TOX4		3	3	131	2.3%	No
DDX46		1	1	131	0.8%	No
THOC5		1	1	131	0.8%	No
TELO2		3	2	131	1.5%	No
OR2T3		1	1	131	0.8%	No
OR2T8		1	1	131	0.8%	No
SNAP91		3	3	131	2.3%	No
MADD		5	4	131	3.1%	No
UBAP2L		1	1	131	0.8%	No
CPSF6		1	1	131	0.8%	No
YARS1		1	1	131	0.8%	No
FIG4		1	1	131	0.8%	No
WASHC5		1	1	131	0.8%	No
SAMD4A		2	2	131	1.5%	No
ZNF292		1	1	131	0.8%	No
PDZD2		8	8	131	6.1%	No
PLPPR4		1	1	131	0.8%	No
WDTC1		3	3	131	2.3%	No
NUAK1		1	1	131	0.8%	No
XPO7		1	1	131	0.8%	No
AMD1		2	2	131	1.5%	No
B3GALT5-AS1		1	1	131	0.8%	No
KDM4B		3	3	131	2.3%	No
AMHR2		2	2	131	1.5%	No
MAST3		8	6	131	4.6%	No
PRR14L		4	2	131	1.5%	No
USP33		1	1	131	0.8%	No
ZNF813		1	1	131	0.8%	No
DOP1A		3	3	131	2.3%	No
DDX52		2	2	131	1.5%	No
ATCAY		1	1	131	0.8%	No
COL27A1		3	3	131	2.3%	No
CDK10		2	2	131	1.5%	No
ZBED4		3	3	131	2.3%	No
PRPF18		1	1	131	0.8%	No
ABHD2		1	1	131	0.8%	No
WWP1		1	1	131	0.8%	Yes
PRKRA		1	1	131	0.8%	No
CASK		1	1	131	0.8%	No
SCARF1		4	4	131	3.1%	No
TSC1		4	4	131	3.1%	Yes
WDFY3		2	2	131	1.5%	No
DAAM1		4	4	131	3.1%	No
AMPD1		1	1	131	0.8%	No
TRUB2		2	2	131	1.5%	No
KHSRP		1	1	131	0.8%	No
MAPKBP1		1	1	131	0.8%	No
AMPH		4	3	131	2.3%	No
PLCH1		12	7	131	5.3%	No
BIN1		1	1	131	0.8%	No
KLHDC10		1	1	131	0.8%	No
CEP20		1	1	131	0.8%	No
AMY2A		1	1	131	0.8%	No
AKAP8L		1	1	131	0.8%	No
LILRB3		1	1	131	0.8%	No
B3GNT5		1	1	131	0.8%	No
LILRA2		1	1	131	0.8%	No
LILRA3		3	3	131	2.3%	No
RBPMS		1	1	131	0.8%	No
DCAF4L2		2	2	131	1.5%	No
RAB31		3	3	131	2.3%	No
STK38L		2	2	131	1.5%	No
SPEN		27	9	131	6.9%	Yes
AMY2B		1	1	131	0.8%	No
FBXO21		1	1	131	0.8%	No
ANG		1	1	131	0.8%	No
FAIM2		2	2	131	1.5%	No
ANGPT1		1	1	131	0.8%	No
CNOT1		1	1	131	0.8%	No
ANK1		2	2	131	1.5%	No
ANK2		10	8	131	6.1%	No
ANK3		11	8	131	6.1%	No
LGALS12		3	3	131	2.3%	No
DSTN		2	1	131	0.8%	No
TSC2		4	4	131	3.1%	Yes
ABCC11		2	2	131	1.5%	No
RIPK3		1	1	131	0.8%	No
NTAN1		1	1	131	0.8%	No
TST		1	1	131	0.8%	No
DNAJC7		1	1	131	0.8%	No
ZNF440		3	2	131	1.5%	No
TTC3		4	3	131	2.3%	No
ZNF285		1	1	131	0.8%	No
SLC25A5		1	1	131	0.8%	No
CHORDC1		1	1	131	0.8%	No
SLC25A6		1	1	131	0.8%	No
SHANK3		2	2	131	1.5%	No
SLC27A2		3	3	131	2.3%	No
SPINK5		2	2	131	1.5%	No
KIF2C		1	1	131	0.8%	No
SHISAL1		1	1	131	0.8%	No
TUBA4A		2	2	131	1.5%	No
TMCO2		1	1	131	0.8%	No
TUBA3C		2	2	131	1.5%	No
GLIPR1		1	1	131	0.8%	No
FAM81B		3	3	131	2.3%	No
AP3M1		1	1	131	0.8%	No
ZNF491		2	2	131	1.5%	No
ZNF441		1	1	131	0.8%	No
ZNF684		1	1	131	0.8%	No
TTN		66	36	131	27.5%	No
TRIM9		3	3	131	2.3%	No
TLK2		1	1	131	0.8%	No
KDELR3		1	1	131	0.8%	No
TMED1		1	1	131	0.8%	No
SNRNP27		1	1	131	0.8%	No
TUFT1		2	2	131	1.5%	No
L3MBTL4		1	1	131	0.8%	No
UBLCP1		1	1	131	0.8%	No
FAM111A		3	3	131	2.3%	No
TUFM		2	2	131	1.5%	No
TUBG1		1	1	131	0.8%	No
C14ORF28		1	1	131	0.8%	No
TYK2		9	5	131	3.8%	Yes
TXNRD1		1	1	131	0.8%	No
ACOT12		1	1	131	0.8%	No
SLC17A9		2	2	131	1.5%	No
LINC01590		1	1	131	0.8%	No
TXK		1	1	131	0.8%	No
MANBAL		1	1	131	0.8%	No
DUSP21		1	1	131	0.8%	No
ZNF114		2	1	131	0.8%	No
FAM205A		1	1	131	0.8%	No
GPATCH3		3	3	131	2.3%	No
KRTAP26-1		1	1	131	0.8%	No
IL20		1	1	131	0.8%	No
IGFN1		1	1	131	0.8%	No
CBLL2		3	3	131	2.3%	No
RPS10-NUDT3		1	1	131	0.8%	No
RELL2		1	1	131	0.8%	No
ZBED8		1	1	131	0.8%	No
TNN		2	2	131	1.5%	No
LDHAL6B		1	1	131	0.8%	No
CHTF18		2	2	131	1.5%	No
ZNF335		2	2	131	1.5%	No
CIDEC		1	1	131	0.8%	No
TIGD7		2	2	131	1.5%	No
ELMO2		1	1	131	0.8%	No
GALNT11		2	2	131	1.5%	No
IFI27L1		1	1	131	0.8%	No
UBQLN3		1	1	131	0.8%	No
IL21R		1	1	131	0.8%	Yes
GALNT9		2	2	131	1.5%	No
ATP6V0A4		3	3	131	2.3%	No
DEF6		1	1	131	0.8%	No
ITSN2		4	4	131	3.1%	No
STEEP1		1	1	131	0.8%	No
MRPS14		1	1	131	0.8%	No
ZNF667		2	2	131	1.5%	No
SHROOM1		1	1	131	0.8%	No
PCIF1		1	1	131	0.8%	No
ZNF383		2	2	131	1.5%	No
ITPR1		3	3	131	2.3%	No
ITPR2		5	5	131	3.8%	No
NOMO3		2	2	131	1.5%	No
GPR153		4	4	131	3.1%	No
CUZD1		2	1	131	0.8%	No
STT3A		1	1	131	0.8%	No
GEMIN4		3	2	131	1.5%	No
SCARF2		2	2	131	1.5%	No
FAM227A		3	3	131	2.3%	No
FKBPL		3	2	131	1.5%	No
SVIP		1	1	131	0.8%	No
DMRTC2		1	1	131	0.8%	No
TMEM256-PLSCR3		1	1	131	0.8%	No
KDM4C		4	4	131	3.1%	Yes
PPRC1		1	1	131	0.8%	No
JAK2		1	1	131	0.8%	Yes
JAK3		2	2	131	1.5%	Yes
FAM217B		2	2	131	1.5%	No
EXPH5		1	1	131	0.8%	No
TRIM35		1	1	131	0.8%	No
ITPR3		4	4	131	3.1%	No
ANO7		7	6	131	4.6%	No
JUNB		1	1	131	0.8%	No
TTLL5		5	5	131	3.8%	No
JUP		1	1	131	0.8%	No
SIPA1L3		4	3	131	2.3%	No
LRIG3		1	1	131	0.8%	Yes
KIF1B		4	4	131	3.1%	No
IQSEC2		2	2	131	1.5%	No
PEDS1-UBE2V1		1	1	131	0.8%	No
SARM1		1	1	131	0.8%	No
JARID2		2	2	131	1.5%	Yes
PLB1		2	2	131	1.5%	No
ZNF423		4	4	131	3.1%	No
JUN		1	1	131	0.8%	Yes
ZC3H13		4	4	131	3.1%	No
DIDO1		7	7	131	5.3%	No
ADAM30		1	1	131	0.8%	No
ADAM29		2	2	131	1.5%	No
SETD1B		1	1	131	0.8%	Yes
KCNA2		2	1	131	0.8%	No
KCNA3		1	1	131	0.8%	No
ZNF609		3	3	131	2.3%	No
TBC1D9B		2	2	131	1.5%	No
GGA2		1	1	131	0.8%	No
ACSM2A		1	1	131	0.8%	No
SETX		1	1	131	0.8%	No
EMC1		3	3	131	2.3%	No
SLC45A1		1	1	131	0.8%	No
ARHGEF3		2	1	131	0.8%	No
DNAAF1		1	1	131	0.8%	No
ZNF784		2	2	131	1.5%	No
DCUN1D3		1	1	131	0.8%	No
KCNA1		2	2	131	1.5%	No
ZNF524		1	1	131	0.8%	No
ADAMTS5		1	1	131	0.8%	No
ADAMTS8		1	1	131	0.8%	No
PRSS23		1	1	131	0.8%	No
KCND1		1	1	131	0.8%	No
KIF13A		5	4	131	3.1%	No
VWA8		1	1	131	0.8%	No
NUP210L		4	4	131	3.1%	No
ZNF791		3	3	131	2.3%	No
RGPD2		1	1	131	0.8%	No
PRDM16		3	3	131	2.3%	Yes
PRDM15		2	1	131	0.8%	No
KCNC3		1	1	131	0.8%	No
KCNC4		3	3	131	2.3%	No
ERP44		2	2	131	1.5%	No
HECW1		3	3	131	2.3%	No
UHRF1BP1L		4	4	131	3.1%	No
RRP1B		3	3	131	2.3%	No
MYCBP2		7	5	131	3.8%	No
KCNA5		1	1	131	0.8%	No
PTPN21		1	1	131	0.8%	No
KCNA6		2	2	131	1.5%	No
KCNA10		1	1	131	0.8%	No
KCNB1		2	2	131	1.5%	No
KCNC1		2	2	131	1.5%	No
RNF180		1	1	131	0.8%	No
CCDC63		2	2	131	1.5%	No
GCNA		3	3	131	2.3%	No
ZNF454		2	2	131	1.5%	No
KCNJ4		2	2	131	1.5%	No
MRPL9		1	1	131	0.8%	No
MYO18A		2	2	131	1.5%	Yes
C5ORF60		1	1	131	0.8%	No
PPTC7		1	1	131	0.8%	No
SCYL2		1	1	131	0.8%	No
RABL6		1	1	131	0.8%	No
RHBDF2		1	1	131	0.8%	No
KANSL3		1	1	131	0.8%	No
HECTD3		4	2	131	1.5%	No
YEATS2		1	1	131	0.8%	No
PRR19		2	2	131	1.5%	No
MREG		1	1	131	0.8%	No
KCND2		1	1	131	0.8%	No
KCND3		2	2	131	1.5%	No
DYNC2H1		6	6	131	4.6%	No
FAM111B		1	1	131	0.8%	No
KCNH2		1	1	131	0.8%	No
KCNJ1		1	1	131	0.8%	No
SLC26A6		2	2	131	1.5%	No
KCNJ14		1	1	131	0.8%	No
AK7		3	3	131	2.3%	No
FRMD4A		2	2	131	1.5%	No
PACS1		1	1	131	0.8%	No
CHD3		5	5	131	3.8%	No
CHD1		3	3	131	2.3%	No
CHMP6		1	1	131	0.8%	No
KDM4D		2	1	131	0.8%	No
CHAT		1	1	131	0.8%	No
CLXN		1	1	131	0.8%	No
RCBTB2		1	1	131	0.8%	No
IARS2		3	2	131	1.5%	No
CHAD		1	1	131	0.8%	No
RADIL		2	2	131	1.5%	No
VAC14		5	3	131	2.3%	No
PANK3		1	1	131	0.8%	No
C19ORF54		1	1	131	0.8%	No
MAP7D3		2	2	131	1.5%	No
MCPH1		1	1	131	0.8%	No
ZNF780A		1	1	131	0.8%	No
KCNJ8		1	1	131	0.8%	No
KCNJ9		1	1	131	0.8%	No
KCNJ11		1	1	131	0.8%	No
KCNJ12		2	2	131	1.5%	No
CHD4		3	3	131	2.3%	Yes
ACTR8		1	1	131	0.8%	No
SYCE1L		2	2	131	1.5%	No
ZNF321P		2	2	131	1.5%	No
MEX3D		1	1	131	0.8%	No
KCNN4		1	1	131	0.8%	No
ATP5IF1		1	1	131	0.8%	No
CHM		2	2	131	1.5%	No
CHKB		1	1	131	0.8%	No
TUT7		2	2	131	1.5%	No
NLRX1		4	3	131	2.3%	No
VEPH1		1	1	131	0.8%	No
ZNF329		1	1	131	0.8%	No
CHI3L1		2	2	131	1.5%	No
FASTKD1		1	1	131	0.8%	No
CHGB		3	3	131	2.3%	No
CHGA		1	1	131	0.8%	No
SMC6		5	5	131	3.8%	No
FOXN3		1	1	131	0.8%	No
CHEK1		1	1	131	0.8%	Yes
PRUNE2		4	4	131	3.1%	No
